time,actual_x,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1987.5000,112.98335602,101.31946451,88.62983378,120.27530844,103.50825707,110.42706892,126.23753214,93.02334482,108.09197069
1987.7500,113.41471727,101.18934782,89.29149138,120.23896731,103.38980896,111.07939628,125.88043377,93.48093981,108.71527648
1988.0000,116.00727053,102.28736092,89.33587578,121.50050607,103.43824349,112.34141350,128.62813073,94.57661602,111.09147179
1988.2500,112.73013592,101.50486273,91.23843462,116.15891618,103.53994093,109.78198489,122.13499007,95.93241460,107.62421928
1988.5000,113.29044402,102.16112505,92.04739027,114.74656181,103.60487248,109.46748975,121.49526322,97.46106318,107.94204600
1988.7500,111.65896304,101.56372293,93.70929388,111.94030934,103.44665150,108.54190884,117.63956273,98.48034564,106.56623675
1989.0000,112.74929461,101.98215187,94.64049130,111.58617911,103.35202797,109.16618399,117.63466357,99.77044150,107.71924435
1989.2500,113.68787900,101.45891223,95.48871316,112.29117652,103.30092505,110.77626383,117.70227975,100.09013689,108.80095434
1989.5000,112.14421856,100.87108877,96.38231983,109.92766246,103.55021690,109.71291118,114.82251955,100.67403013,106.87433725
1989.7500,111.47384862,100.62161464,96.64181706,108.99822485,103.69601213,109.22390026,113.72183943,100.82994670,105.98561098
1990.0000,109.13669301,99.95345770,97.49318317,106.59770927,103.58852763,107.64127321,110.35763834,100.93197614,103.86398663
1990.2500,110.11481721,99.82093267,97.73424394,107.51666396,103.57996295,108.82630367,111.14981498,101.03683216,104.87687794
1990.5000,107.57630654,99.86134825,97.94038854,104.28838344,103.78165481,105.98341059,108.06212261,101.48442161,101.97993368
1990.7500,104.86257809,99.77017471,98.12217428,101.58190386,103.66904339,103.31280097,105.04798002,101.47020101,99.42733015
1991.0000,99.75909082,97.87183460,98.45215610,97.82983818,103.87685453,100.03644660,99.44678658,100.07939028,94.25343692
1991.2500,95.87543574,96.36815816,97.79935400,95.19925966,104.51101136,97.30459730,95.88064173,98.49934607,89.72322342
1991.5000,95.03488165,96.72115865,97.67578579,93.78585785,104.67837124,95.91153395,94.97414959,98.91336396,88.62073972
1991.7500,95.28614421,96.68641143,96.60661858,95.04789751,104.75132371,96.22575749,96.30523576,97.88457633,88.81723732
1992.0000,95.38829411,96.50377951,95.78891572,96.16282006,104.77156296,96.56889518,97.28957989,96.91129444,88.94840456
1992.2500,94.29752474,97.28061791,97.14779813,92.95288583,104.62022258,94.55168332,94.68095371,98.95385275,87.91843442
1992.5000,96.13347779,97.81417041,96.39953569,95.12256008,104.55266733,95.97205601,97.38041760,98.68770389,89.78658586
1992.7500,95.92224549,98.12888554,96.88624084,94.12310703,104.49639017,95.40865678,96.63235027,99.46914691,89.59491467
1993.0000,96.76613146,98.90779734,96.66997809,94.60611812,104.31692295,95.53682779,97.74841568,99.88082579,90.58297479
1993.2500,96.87644435,97.85983553,96.36761214,96.43638628,104.14666729,96.93742981,98.43847665,98.36827472,91.08578492
1993.5000,97.28081893,97.18683201,96.36929178,97.81672545,104.01487743,98.21730433,99.05052200,97.58483135,91.76983997
1993.7500,96.33675881,96.32784533,97.16529473,97.12888661,103.89847268,98.23622985,97.38955026,97.42605609,91.07818537
1994.0000,98.84997163,97.02273845,96.31158892,99.98270849,103.84446315,100.19777776,100.93762230,97.23144064,93.61561021
1994.2500,100.14628460,96.93920013,96.26035829,101.77745372,103.68078489,101.79256743,102.51042321,96.95359537,95.17375931
1994.5000,102.72426761,97.76076498,95.64219517,104.41297556,103.57370617,103.65944073,105.95560050,97.05523828,97.84168779
1994.7500,101.78113990,97.11808435,96.42976239,103.38458306,103.51633383,103.43027036,104.16856240,97.16100239,97.03734038
1995.0000,103.97110077,96.96489234,96.40321473,106.26132547,103.33522992,106.09875790,106.71692502,96.81654724,99.55805629
1995.2500,103.27338122,96.11235151,96.59951285,106.40440627,103.30406227,106.42746113,105.89073642,96.13317636,99.01830895
1995.5000,101.39033436,96.06107411,97.08348042,104.01807366,103.20859744,104.46802100,103.36784655,96.47660212,97.23327858
1995.7500,100.59349945,96.10123640,97.28760796,102.50069522,103.44272205,103.40057914,102.13966309,96.94493758,96.06208444
1996.0000,101.25688991,96.38708775,96.63202030,103.67457482,103.38736090,103.83178186,103.56860013,96.53324440,96.80141733
1996.2500,101.35489928,96.89792187,96.31978626,103.81175790,103.18882875,103.44023758,104.06111193,96.55114471,97.13400356
1996.5000,103.72168087,98.42950015,96.00854322,104.97335384,103.10368219,104.17941180,106.80640581,97.68505105,99.45646180
1996.7500,105.26762254,98.48252476,95.75902032,107.26934909,102.85426452,105.92595853,108.93862321,97.24917623,101.42365883
1997.0000,104.66122072,98.38850872,96.32311523,105.78953907,103.03289382,105.26125174,107.51829983,97.89718034,100.51641957
1997.2500,105.76177060,97.97824412,96.29846370,107.92398493,102.78696091,107.10108443,108.96930015,97.23117806,102.09053855
1997.5000,107.04451486,98.14021943,96.43362538,108.54297325,103.02968902,108.11906998,110.03246233,97.75694303,102.98807414
1997.7500,108.30983050,98.66904407,96.80616344,109.23210055,102.77093835,108.94706309,111.04357602,98.41157055,104.59866127
1998.0000,108.23551849,98.51473373,97.23209769,109.17324852,102.58330119,109.16114970,110.60114770,98.50381612,104.83169749
1998.2500,109.82941411,99.37273695,96.64462016,110.96819441,102.30011539,109.97463824,113.07903926,98.48300096,106.82764877
1998.5000,109.68093730,99.91055681,97.12216507,109.92436490,102.09173306,109.24641120,112.38289185,99.29436284,106.91237622
1998.7500,111.33078092,101.26385877,96.75370307,110.73733589,101.90248161,109.42499006,114.52581542,100.06378291,108.73922366
1999.0000,113.70145548,102.44435746,96.39098249,112.13283177,101.93683564,110.41436307,117.34840943,100.87436748,110.96409268
1999.2500,114.34166201,102.42950365,96.64142964,113.02330015,101.65767184,111.25940480,117.92298244,100.83094013,112.10413739
1999.5000,114.41218183,102.83616695,97.11438705,112.65213808,101.30271328,111.03151604,117.57326454,101.35675819,112.71223790
1999.7500,115.59802004,103.79405959,97.31872981,112.82665769,101.09197428,111.18974375,118.58801396,102.28819257,114.16173214
2000.0000,116.95762024,105.34819401,98.18566074,111.69463982,100.85970993,110.78198027,118.86340085,104.48739141,115.71202770
2000.2500,116.75197568,103.51329361,100.06521939,112.89290491,100.10619110,113.24142878,117.14353238,103.83286068,117.09558757
2000.5000,119.00165568,105.94086641,99.70126276,112.57447302,100.13137458,112.52053904,119.56241140,105.89011057,119.04883405
2000.7500,117.29252855,106.28534812,99.48699983,111.21507817,99.84598044,110.58469682,118.14139554,105.68290911,117.71663663
2001.0000,116.24902165,106.32841655,99.79835033,109.96899688,99.73358372,109.54576480,116.71362977,105.91919579,116.78942315
2001.2500,111.95165582,104.58209682,100.18094445,106.65057472,100.09920330,107.02219085,111.72389306,104.94650549,111.81512696
2001.5000,110.72501262,104.89661451,98.98042143,105.53724987,100.60128033,105.15205076,111.43713044,104.51375365,109.64168743
2001.7500,108.15846749,103.65997776,98.44047914,104.67560041,100.76952069,103.89170918,109.40024223,102.88369229,106.87172261
2002.0000,106.71264036,103.49962505,97.87817512,103.66730447,100.96867887,102.50346833,108.39056333,102.33767139,105.07288654
2002.2500,107.46964432,104.20111365,97.23452771,104.18477309,101.07191141,102.44282428,109.78257031,102.45889163,105.61447020
2002.5000,107.11520238,104.39535833,97.46103287,103.76031260,100.81911995,102.00657454,109.26431403,102.63088685,105.62493410
2002.7500,106.91631585,104.17193593,97.28859138,104.09273105,100.76402969,102.09631750,109.31981740,102.17400329,105.54928260
2003.0000,105.37512847,104.10528760,97.35399448,102.95661925,100.48457560,100.76979198,107.75796341,101.89406229,104.40078104
2003.2500,104.49705106,103.65272184,97.73763701,102.20508576,100.44230028,100.38887794,106.46441595,101.81078920,103.59759197
