time,actual_h,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1996.7500,101.84091307,99.27599679,95.92925376,102.02329897,104.03460881,102.31876128,105.88841900,99.56350283,97.63863326
1997.0000,102.02865207,99.21764644,96.13011987,101.61954538,104.44178970,102.52455290,105.81745716,100.10126303,97.39630918
1997.2500,102.48250737,99.25064323,96.46859211,102.20064169,103.98953520,103.02541917,105.99656218,100.05161370,98.33046279
1997.5000,103.03299351,99.18860384,96.41568060,102.36762178,104.47603710,103.61568714,106.59568319,100.39791063,98.37179538
1997.7500,103.36828514,99.27085751,96.81068150,102.55272425,104.15888753,103.90386420,106.54429384,100.57875861,99.02780207
1998.0000,103.55342245,99.30098399,97.25159189,102.53694899,103.90091209,104.09059481,106.28410587,100.80559828,99.48226903
1998.2500,103.33237489,99.42454457,97.00444182,103.01537558,103.38695540,103.78307728,106.37229594,100.16548631,99.80548467
1998.5000,103.23362850,99.49932003,97.33395933,102.73783111,103.15827604,103.60913149,105.91409415,100.34315520,99.93418394
1998.7500,102.98627149,99.62217377,97.04743864,102.95415365,102.89098335,103.23804680,105.97702301,99.89687908,99.95821113
1999.0000,103.12572037,99.67262926,96.67499868,103.32284858,103.01202002,103.31137070,106.51477725,99.66155688,99.96227574
1999.2500,103.34903558,99.73308163,97.08588169,103.55640309,102.58552614,103.52741422,106.35025272,99.70516305,100.64878002
1999.5000,103.31086808,99.83581252,97.57145318,103.45921405,102.09382864,103.42092598,105.82103515,99.79886539,101.13355836
1999.7500,103.34063651,99.93152603,97.72384721,103.50494058,101.86012400,103.36298361,105.69805612,99.79446999,101.40593081
2000.0000,103.54861292,100.05218815,98.19647347,103.20743158,101.75968942,103.43120054,105.38584097,100.26911607,101.69565174
2000.2500,104.86279083,100.11147501,100.37433003,103.52228503,100.65897434,104.86569727,104.59108049,101.41062506,104.29531694
2000.5000,104.45432759,100.23119480,99.71799010,103.43884846,100.85394712,104.26425104,104.80085335,101.03100153,103.62044079
2000.7500,103.50568723,100.33342817,99.62249116,103.08074666,100.32713487,103.22263044,103.95925916,100.47153045,103.22910536
2001.0000,103.23532501,100.36142831,99.82670221,102.74973678,100.18356587,102.92141265,103.47271570,100.52911375,103.10413577
2001.2500,102.76177362,100.18002404,99.86735075,101.85495885,100.70678425,102.57041274,102.89154901,100.88371278,102.03390458
2001.5000,101.77062543,100.09150857,98.55178768,101.55030841,101.37097808,101.56626818,103.15308572,100.10723908,100.28433379
2001.7500,101.11772632,100.00068228,98.17365821,101.31294624,101.43581602,100.99292657,102.87241757,99.68480769,99.56405892
2002.0000,100.45134026,99.95724373,97.59851482,101.03340729,101.64467068,100.32677059,102.75143509,99.25813381,98.66122241
2002.2500,100.15563258,99.97728254,97.01013240,101.17711125,101.76766165,99.98552434,103.04367976,98.79982630,98.22649804
2002.5000,99.98803622,100.05168633,97.28613103,101.05927390,101.37930138,99.76956376,102.60571565,98.77483493,98.46302906
2002.7500,99.89038228,100.05790998,97.25520181,101.15158801,101.23127515,99.68286461,102.55553336,98.60506681,98.52744696
2003.0000,99.31425030,100.13469589,97.42834042,100.83520824,100.72924949,99.05459883,101.80612834,98.36645654,98.46992983
2003.2500,99.36200834,100.11887535,97.74463320,100.62455087,100.67908898,99.12422730,101.53198015,98.62609146,98.57266547
2003.5000,99.12475199,100.09211149,97.14082751,100.69918348,100.96951389,98.87702287,101.88105506,98.28093590,98.01780374
2003.7500,98.73142667,100.25947903,96.54380688,100.90437899,100.78870774,98.29966774,102.08291754,97.67141501,97.78350867
2004.0000,98.99432564,100.28307862,96.53225289,101.20629329,100.75888920,98.55198148,102.38128514,97.65297973,98.08659252
2004.2500,98.96774974,100.29858447,96.78719487,101.09575556,100.58200103,98.52623553,102.10071663,97.74932590,98.24861164
2004.5000,98.98010998,100.41313422,96.66066357,101.92789567,99.87952382,98.51145242,102.33577268,97.04746310,99.03775385
2004.7500,99.10312974,100.45792127,96.87871257,102.04528116,99.65436487,98.61586208,102.25925021,97.08184833,99.41104458
2005.0000,99.08908364,100.59479676,97.23259561,102.26182946,99.00250602,98.52730919,101.93428018,96.92115520,100.11195718
