time,actual_y,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1992.0000,99.97709056,99.83043088,96.06970535,99.25816342,104.72279771,99.70407996,103.60707600,100.27891834,95.04617410
1992.2500,100.25954937,100.25000164,96.55296998,98.61894753,104.75071347,99.53715029,103.34844679,101.18339051,95.26044405
1992.5000,100.49967801,100.52322993,96.29018622,99.05292696,104.62022646,99.52513655,103.90039295,101.00244881,95.62766708
1992.7500,100.62773442,100.69104087,96.47217841,98.85402244,104.62871651,99.47686561,103.82712721,101.32545841,95.73307859
1993.0000,100.79197008,101.06629021,96.40232939,98.95036053,104.44052136,99.27852281,104.08163435,101.40146983,96.07106387
1993.2500,100.21280232,100.36451916,96.52990988,99.31183756,104.14432502,99.45051224,103.40114120,100.50466376,95.84106325
1993.5000,99.97361797,99.91089148,96.72520607,99.58079703,103.95600230,99.70250061,102.98624447,100.03299849,95.82290102
1993.7500,99.64841378,99.36483265,97.21259913,99.44715831,103.86260181,99.94459768,102.15731615,99.86186022,95.61649766
1994.0000,100.08899955,99.74437636,96.89942093,99.99670916,103.75251954,100.02745159,102.96424563,99.77504122,96.16321437
1994.2500,100.21445782,99.63242631,97.03953157,100.33584463,103.56395596,100.30164629,102.98170468,99.59846772,96.49396153
1994.5000,100.75265435,100.07146185,96.82819262,100.82518159,103.43080867,100.42076995,103.78437289,99.67007339,97.15918668
1994.7500,100.58195105,99.68396329,97.24942744,100.63544315,103.42060564,100.64827102,103.16789330,99.69666987,97.01179462
1995.0000,100.91489218,99.53423072,97.45757771,101.16243113,103.22192509,101.18350624,103.33955237,99.55496663,97.56863618
1995.2500,100.53722874,99.01777923,97.65827001,101.18833902,103.15662394,101.34980794,102.76070738,99.17578454,97.28345621
1995.5000,100.14706861,98.94332177,97.83494843,100.75250191,103.08484725,101.01873231,102.16317477,99.20477156,96.96021484
1995.7500,100.21328293,99.06315573,97.75946127,100.47114072,103.37305667,100.92554674,102.27146328,99.51119378,96.71768908
1996.0000,100.14139323,99.19179601,97.49886851,100.68910078,103.24612085,100.73305687,102.48214140,99.23509845,96.77741639
1996.2500,100.00780480,99.39697168,97.39542847,100.71444165,103.00452481,100.40134545,102.46466233,99.08797117,96.88496412
1996.5000,100.83844419,100.26783624,97.18345816,100.92793529,102.97308555,100.35063975,103.53553685,99.69431638,97.71428582
1996.7500,100.92526311,100.19703861,97.26741573,101.34435781,102.67196935,100.55334018,103.58193268,99.41497608,98.12947946
1997.0000,101.12881078,100.23194906,97.40314711,101.07680334,102.93969334,100.69281800,103.61715923,99.85117328,98.04417593
1997.2500,101.06665345,99.89576284,97.63164951,101.46176551,102.64231172,101.02126511,103.36398485,99.46206130,98.31809292
1997.5000,101.69756590,100.11161153,97.59594663,101.57225069,102.96219534,101.41450761,104.02860098,99.95613684,98.60677267
1997.7500,102.10271904,100.33292131,97.86232248,101.69465667,102.75372037,101.61815163,104.18356885,100.25744071,99.22410570
1998.0000,102.06804955,100.17660454,98.15923068,101.68422756,102.58398679,101.76315553,103.85459745,100.25436229,99.37503608
1998.2500,102.24044271,100.55009115,97.99285569,102.00028068,102.24541236,101.58496022,104.23593575,100.14067552,99.90058991
1998.5000,102.39668207,100.78702949,98.21464697,101.81699191,102.09458711,101.50307711,104.16158834,100.47629019,100.20309514
